#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
176,Ismaily,Emad Hamdi,6.84,1,2,517,174,691,74.82,289,228,66,4,0,0.0,60,45.45,0
177,Ceramica Cleopatra,Ahmed Ramadan,6.84,2,1,941,246,1187,79.28,493,452,135,8,4,26.67,90,46.88,0
178,Al-Masry,Marwan Hamdy,6.84,2,1,249,159,408,61.03,53,203,121,15,7,30.43,26,66.67,0
179,Ceramica Cleopatra,Amr Kalawa,6.84,0,1,319,79,398,80.15,99,221,99,7,1,20.0,17,50.0,0
180,Tala'ea El-Gaish,Ahmed Meteb,6.84,2,3,808,272,1080,74.81,369,466,210,29,27,22.5,78,41.49,0
181,Aswan SC,Mohamed Morsi,6.83,2,0,187,93,280,66.79,60,138,80,11,11,37.93,27,50.0,0
182,Al Ahly FC,Karim Eldbees,6.83,0,0,93,24,117,79.49,53,43,16,2,3,60.0,3,27.27,0
183,Zamalek SC,Naser Mansi,6.83,2,0,179,112,291,61.51,40,140,97,17,1,9.09,4,66.67,0
184,Al-Mokawloon,Joseph Ochaya,6.83,3,3,595,274,869,68.47,225,392,163,28,22,17.46,38,24.36,0
185,Tala'ea El-Gaish,Mohamed Camacho,6.83,0,0,932,358,1290,72.25,641,291,73,6,0,0.0,129,40.69,0
186,Tala'ea El-Gaish,Mostafa Khawaga,6.83,3,2,478,87,565,84.6,196,291,125,19,9,31.03,55,65.48,0
187,Ismaily,Saleh Gomaa,6.83,4,2,268,125,393,68.19,94,183,90,15,9,21.43,52,53.61,0
188,Al-Masry,Mahmoud Gad,6.82,0,0,258,160,418,61.72,200,58,11,0,0,0.0,98,38.43,0
189,Aswan SC,Ahmed Castelo,6.82,0,0,740,299,1039,71.22,533,208,67,6,1,14.29,101,35.56,0
190,Smouha,Mohamed Essam Emara,6.82,1,2,260,83,343,75.8,72,191,103,14,3,14.29,14,56.0,0
191,Pyramids FC,Ahmed Tawfik,6.82,1,1,1022,189,1211,84.39,544,483,156,10,5,13.89,88,56.41,0
192,El Dakhlya,Emad El-Sayed,6.82,1,0,138,260,398,34.67,61,77,22,1,0,0.0,93,26.57,0
193,Modern Future FC,Ghanam Mohamed,6.82,2,1,920,156,1076,85.5,392,529,219,11,1,33.33,66,62.86,0
194,Pharco FC,Ali Baheeg,6.82,0,2,45,16,61,73.77,12,33,23,4,0,0.0,1,50.0,0
195,Modern Future FC,Mahmoud Shaaban,6.82,2,0,186,52,238,78.15,101,93,38,8,8,36.36,9,34.62,0
196,Aswan SC,Ahmed Khaled,6.82,4,6,739,201,940,78.62,267,483,275,41,11,20.75,18,37.5,0
197,Zamalek SC,Seifeddine Jaziri,6.81,1,0,311,91,402,77.36,102,209,97,13,0,0.0,12,63.16,0
198,Ismaily,Mohamed Makhlouf,6.81,1,0,276,70,346,79.77,134,142,66,4,0,0.0,22,44.9,0
199,Pharco FC,Ahmed El Bahrawy,6.81,0,0,542,160,702,77.21,357,188,65,5,3,12.0,36,40.91,0
200,Haras El Hedoud,Khaled Sami,6.81,1,0,225,79,304,74.01,153,72,20,5,0,0.0,33,43.42,0
201,National Bank of Egypt,Issahaku Yakubu,6.81,4,4,1033,298,1331,77.61,509,551,265,33,27,24.77,93,42.86,0
202,Zamalek SC,Mohamed Ashraf Roqa,6.81,0,1,885,142,1027,86.17,392,493,187,11,0,0.0,140,74.07,0
203,Ceramica Cleopatra,Ahmed El Armouty,6.81,4,2,227,57,284,79.93,51,181,108,13,5,23.81,12,57.14,0
204,Modern Future FC,Mahmoud Rizk,6.81,0,0,337,86,423,79.67,261,76,19,1,0,0.0,25,37.31,0
205,Pyramids FC,Mahmoud Dunga,6.81,0,0,214,44,258,82.95,89,125,51,4,0,0.0,21,55.26,0
